Asset,TotalDebt,Equity,PaidUpCapital,Revenue,NetProfit,EarningPerShare,ROA,ROE,Period,Symbol
"7,818.93","4,548.80","3,270.14",510.00,988.68,118.65,0.12,1.59,3.67,4Q2562,SJWD
"9,098.14","5,805.73","3,292.41",510.00,966.08,90.60,0.09,1.07,2.76,1Q2563,SJWD
"9,100.75","5,979.15","3,121.60",510.00,887.35,45.21,0.05,0.50,1.41,2Q2563,SJWD
"9,243.85","6,033.02","3,210.83",510.00,993.77,70.27,0.07,0.77,2.22,3Q2563,SJWD
"9,473.70","6,222.08","3,251.62",510.00,"1,075.24",75.65,0.07,0.81,2.34,4Q2563,SJWD
"10,417.24","6,976.97","3,440.27",510.00,"1,068.55",140.22,0.14,1.41,4.19,1Q2564,SJWD
"10,689.14","7,204.45","3,484.70",510.00,"1,281.94",113.38,0.11,1.07,3.27,2Q2564,SJWD
"11,000.64","7,298.71","3,701.93",510.00,"1,466.72",138.93,0.14,1.28,3.87,3Q2564,SJWD
"12,604.88","8,626.49","3,978.39",510.00,"1,476.12",164.09,0.17,1.39,4.27,4Q2564,SJWD
"12,568.00","8,552.90","4,015.10",510.00,"1,410.40",128.49,0.12,1.02,3.21,1Q2565,SJWD
"13,019.39","9,039.03","3,980.36",510.00,"1,378.01",156.80,0.15,1.23,3.92,2Q2565,SJWD
"13,171.71","9,073.42","4,098.28",510.00,"1,598.94",111.33,0.11,0.85,2.76,3Q2565,SJWD
"13,041.35","9,606.96","3,434.39",510.00,"1,600.81",121.56,0.11,0.93,3.23,4Q2565,SJWD
762.18,131.60,630.58,346.40,,,,,,4Q2559,SKE
682.74,232.40,450.34,346.40,247.33,55.63,0.08,7.70,10.29,3Q2560,SKE
"1,040.95",155.03,885.92,465.00,86.37,18.29,0.02,2.12,2.74,4Q2560,SKE
"1,059.88",149.53,910.35,465.00,84.34,17.88,0.02,1.70,1.99,1Q2561,SKE
"1,143.00",155.25,987.75,465.00,88.16,12.86,0.01,1.17,1.35,2Q2561,SKE
"1,156.84",155.41,"1,001.42",465.00,82.81,13.70,0.02,1.19,1.38,3Q2561,SKE
"1,491.89",472.37,"1,019.52",465.00,70.05,12.85,0.01,0.97,1.27,4Q2561,SKE
"1,585.10",560.33,"1,024.78",465.00,70.38,5.00,0.01,0.32,0.49,1Q2562,SKE
"1,610.93",623.22,987.71,465.00,79.44,18.88,0.02,1.18,1.88,2Q2562,SKE
"1,717.18",731.14,986.03,465.00,102.83,-2.31,-0.00,-0.14,-0.23,3Q2562,SKE
"1,796.26",807.07,989.19,465.00,141.45,3.54,0.01,0.20,0.36,4Q2562,SKE
"1,688.62",685.50,"1,003.12",465.00,143.63,13.98,0.01,0.80,1.40,1Q2563,SKE
"1,679.02",684.87,994.15,465.00,133.38,14.28,0.01,0.85,1.43,2Q2563,SKE
"1,643.07",642.74,"1,000.33",465.00,135.89,6.18,0.01,0.37,0.62,3Q2563,SKE
"1,618.40",614.82,"1,003.58",465.00,120.76,2.88,0.01,0.18,0.29,4Q2563,SKE
"1,610.56",600.05,"1,010.50",465.00,120.56,6.92,0.01,0.43,0.69,1Q2564,SKE
"1,761.64",686.03,"1,075.61",558.00,149.44,15.90,0.01,0.94,1.52,2Q2564,SKE
"1,721.67",642.75,"1,078.92",558.00,112.21,3.31,0.00,0.19,0.31,3Q2564,SKE
"1,586.97",501.86,"1,085.11",558.00,119.25,5.91,0.00,0.36,0.55,4Q2564,SKE
"1,673.39",592.38,"1,081.01",558.00,112.94,-4.09,-0.00,-0.25,-0.38,1Q2565,SKE
"1,858.89",731.96,"1,126.94",558.00,138.69,21.68,0.02,1.23,1.96,2Q2565,SKE
"1,833.10",711.19,"1,121.91",558.00,120.32,-5.03,-0.00,-0.27,-0.45,3Q2565,SKE
"1,904.56",792.71,"1,111.85",558.00,125.47,-10.86,-0.01,-0.58,-0.97,4Q2565,SKE
"1,989.60","1,253.07",736.53,600.00,,,,,,4Q2559,SKN
"1,873.56","1,143.62",729.95,600.00,749.84,103.71,0.17,5.37,14.14,2Q2560,SKN
"3,362.63","1,152.89","2,209.74",800.00,391.43,53.81,0.09,2.06,3.66,3Q2560,SKN
"2,598.88",320.71,"2,278.17",800.00,444.33,68.43,0.09,2.30,3.05,4Q2560,SKN
"2,939.52",610.02,"2,329.49",800.00,377.07,51.32,0.06,1.85,2.23,1Q2561,SKN
"3,159.27",884.09,"2,275.18",800.00,376.32,31.61,0.04,1.04,1.37,2Q2561,SKN
"3,248.34",909.97,"2,338.36",800.00,434.68,63.18,0.08,1.97,2.74,3Q2561,SKN
"3,335.90",936.86,"2,399.04",800.00,383.13,60.68,0.08,1.84,2.56,4Q2561,SKN
"3,369.56",966.83,"2,402.73",800.00,567.81,3.69,0.00,0.11,0.15,1Q2562,SKN
"3,403.36","1,073.00","2,330.36",800.00,520.11,5.26,0.01,0.16,0.22,2Q2562,SKN
"3,452.29","1,085.76","2,366.53",800.00,669.90,36.17,0.05,1.06,1.54,3Q2562,SKN
"3,366.52",984.71,"2,381.80",800.00,617.92,15.27,0.02,0.45,0.64,4Q2562,SKN
"3,433.61","1,021.53","2,412.09",800.00,630.92,30.29,0.04,0.89,1.26,1Q2563,SKN
"3,467.12","1,017.97","2,449.15",800.00,541.44,61.54,0.08,1.78,2.53,2Q2563,SKN
"3,514.67","1,031.92","2,482.76",800.00,650.28,33.60,0.04,0.96,1.36,3Q2563,SKN
"3,628.66","1,243.21","2,385.45",800.00,656.47,37.65,0.05,1.05,1.55,4Q2563,SKN
"3,646.01","1,174.06","2,471.95",800.00,748.69,86.50,0.11,2.38,3.56,1Q2564,SKN
"3,720.29","1,074.96","2,645.33",800.00,963.31,173.38,0.22,4.71,6.78,2Q2564,SKN
"3,827.17",981.06,"2,846.11",800.00,872.41,200.78,0.25,5.32,7.31,3Q2564,SKN
"4,195.69",809.06,"3,386.63",800.00,"1,058.99",224.50,0.28,5.60,7.20,1Q2565,SKN
"4,227.59",916.35,"3,311.24",800.00,913.27,148.61,0.19,3.53,4.44,2Q2565,SKN
"4,269.02",832.72,"3,436.30",800.00,868.87,125.05,0.16,2.94,3.71,3Q2565,SKN
"1,897.33",595.30,"1,302.02",650.00,395.66,31.80,0.33,1.74,2.61,1Q2556,SKR
"1,952.59",693.55,"1,259.04",650.00,393.62,28.54,0.30,1.48,2.23,2Q2556,SKR
"2,040.07",730.00,"1,310.06",650.00,462.91,51.03,0.51,2.56,3.97,3Q2556,SKR
"2,025.70",678.32,"1,347.38",650.00,453.61,37.31,0.36,1.84,2.81,4Q2556,SKR
"2,126.21",738.21,"1,388.00",650.00,476.04,40.62,0.41,1.96,2.97,1Q2557,SKR
"2,211.07",883.70,"1,327.37",650.00,438.37,19.37,0.19,0.89,1.43,2Q2557,SKR
"2,389.66","1,012.09","1,377.57",650.00,487.75,50.20,0.50,2.18,3.71,3Q2557,SKR
"2,786.78","1,061.33","1,725.45",780.00,476.56,47.88,0.45,1.85,3.09,4Q2557,SKR
"2,866.75","1,134.50","1,732.25",780.00,469.52,24.75,0.21,0.88,1.43,1Q2558,SKR
"2,962.77","1,304.24","1,658.52",780.00,475.22,28.27,0.23,0.97,1.67,2Q2558,SKR
"3,197.72","1,500.09","1,697.63",780.00,529.45,39.11,0.33,1.27,2.33,3Q2558,SKR
"3,456.31","1,542.51","1,913.80",780.00,550.71,23.40,0.19,0.70,1.30,4Q2558,SKR
"3,578.62","1,634.41","1,944.21",780.00,558.41,30.41,0.25,0.86,1.58,1Q2559,SKR
"3,590.65","1,710.11","1,880.53",780.00,541.45,14.33,0.12,0.40,0.75,2Q2559,SKR
"3,567.87","1,639.12","1,928.76",780.00,656.68,48.22,0.40,1.35,2.53,3Q2559,SKR
"5,286.60","1,810.65","3,475.95",981.56,704.40,97.23,0.76,2.20,3.60,4Q2559,SKR
"5,266.65","1,769.04","3,497.61",981.56,751.29,21.66,0.14,0.41,0.62,1Q2560,SKR
"5,256.51","1,824.63","3,431.87",981.56,742.93,17.32,0.12,0.33,0.50,2Q2560,SKR
"5,278.83","1,773.78","3,505.05",981.56,866.29,73.18,0.48,1.39,2.11,3Q2560,SKR
"5,349.69","1,793.63","3,556.06",981.56,819.59,51.01,0.34,0.96,1.44,4Q2560,SKR
"5,386.17","1,785.21","3,600.95",981.56,815.13,44.89,0.30,0.84,1.25,1Q2561,SKR
"5,427.87","1,831.85","3,596.02",999.66,807.19,38.31,-0.26,0.71,1.06,2Q2561,SKR
"5,480.68","1,784.09","3,696.58",999.66,941.93,100.56,0.05,1.84,2.76,3Q2561,SKR
"5,532.26","1,750.90","3,781.36",999.66,909.72,59.60,0.03,1.08,1.59,4Q2561,SKR
"5,737.31","1,882.83","3,854.48",999.66,890.84,72.53,0.04,1.29,1.90,1Q2562,SKR
"5,634.04","1,891.71","3,742.33",999.66,870.93,27.21,0.01,0.48,0.72,2Q2562,SKR
"5,890.42","2,043.63","3,846.79",999.66,"1,018.09",103.86,0.05,1.80,2.74,3Q2562,SKR
"5,853.22","1,967.15","3,886.07",999.66,963.75,40.75,0.02,0.69,1.05,4Q2562,SKR
"6,120.75","2,170.07","3,950.67",999.66,974.95,72.70,0.04,1.21,1.86,1Q2563,SKR
"6,048.86","2,153.85","3,895.00",999.66,867.30,83.69,0.04,1.38,2.13,2Q2563,SKR
"6,110.14","2,111.54","3,998.60",999.66,"1,019.88",103.00,0.05,1.69,2.61,3Q2563,SKR
"6,469.70","2,379.18","4,090.51",999.66,"1,045.47",91.31,0.04,1.45,2.26,4Q2563,SKR
"6,273.86","2,087.98","4,185.88",999.66,997.86,94.77,0.05,1.49,2.29,1Q2564,SKR
"6,440.48","2,282.89","4,157.59",999.66,"1,198.22",146.69,0.07,2.31,3.52,2Q2564,SKR
"6,915.65","2,444.48","4,471.17",999.66,"1,659.90",344.63,0.17,5.16,7.99,3Q2564,SKR
