Assets,Liabilities,Equity,Paid-up Capital,Revenue,Profit (Loss) from Other Activities,Net Profit,EPS (Baht),ROA (%),ROE (%),Net Profit Margin (%),SymbolId,Period as of,Date
14032.19,3457.96,10555.13,2800.0,10269.8,129.95,1002.8,0.36,8.01,9.62,9.73,209,Y/E 2020,2020-03-31
15404.77,4364.34,11019.28,2800.0,9740.15,110.97,1218.89,0.44,8.95,11.3,12.54,209,Y/E 2021,2021-03-31
16268.11,4455.72,11785.47,2800.0,11825.43,292.15,1596.96,0.57,11.1,14.01,13.55,209,Y/E 2022,2022-03-31
61749.98,35917.88,25824.66,17075.18,200864.05,383.62,2225.16,0.64,4.79,8.24,1.11,395,Y/E 2018,2018-12-31
66242.63,44124.7,22110.5,17075.18,169430.07,379.99,-3065.7,-0.89,-5.69,-12.79,-1.81,395,Y/E 2019,2019-12-31
61378.09,47018.56,14352.09,17075.18,126738.85,285.1,-7911.07,-2.29,-15.05,-43.39,-6.24,395,Y/E 2020,2020-12-31
70054.6,50846.27,19200.9,17075.18,172907.15,226.82,4443.21,1.28,8.83,26.48,2.57,395,Y/E 2021,2021-12-31
8870.37,6363.88,1684.88,480.0,8077.23,8.41,526.15,0.55,12.72,29.4,10.15,583,Y/E 2018,2018-12-31
7617.02,5170.93,1506.85,480.0,6803.85,-1.65,331.36,0.35,9.73,20.76,8.9,583,Y/E 2019,2019-12-31
7822.37,5594.16,1292.39,480.0,7082.6,-12.32,438.84,0.47,10.77,31.35,9.12,583,Y/E 2020,2020-12-31
8817.62,6198.9,1702.83,480.0,8812.73,39.11,722.76,0.77,13.99,48.26,10.16,583,Y/E 2021,2021-12-31
31016.98,16130.62,14672.43,4001.47,26262.41,14.31,2003.04,0.5,9.16,14.3,7.58,452,Y/E 2018,2018-12-31
35986.39,19855.47,15912.14,4201.54,29182.28,29.36,2093.47,0.5,8.58,13.69,7.24,452,Y/E 2019,2019-12-31
36020.3,18806.46,16981.18,4401.61,27353.89,23.35,1955.96,0.44,7.43,11.89,7.22,452,Y/E 2020,2020-12-31
39274.6,19438.55,19560.85,4601.67,34116.11,80.75,3343.58,0.73,11.48,18.3,9.85,452,Y/E 2021,2021-12-31
64439.02,22089.95,39991.97,14983.01,25300.76,580.14,3359.19,2.24,7.47,8.55,15.37,397,Y/E 2018,2018-12-31
252016.62,141840.91,100893.03,28197.29,67480.77,1154.48,4060.8,2.25,7.2,5.76,8.89,397,Y/E 2019,2019-12-31
256656.32,144788.95,102901.39,28197.29,70982.68,925.67,7508.13,2.66,5.31,7.37,11.96,397,Y/E 2020,2020-12-31
270379.12,152631.58,108334.28,28197.29,78148.08,1442.78,7318.58,2.6,4.89,6.93,10.03,397,Y/E 2021,2021-12-31
123668.66,78880.41,36536.94,10666.5,17479.01,2750.22,3028.13,1.42,5.4,8.52,23.69,399,Y/E 2018,2018-12-31
134277.54,85237.6,38427.11,10666.5,30343.36,4208.92,4886.56,2.29,7.79,13.04,23.62,399,Y/E 2019,2019-12-31
245580.51,173500.69,64027.15,11733.15,33370.44,2328.31,4282.11,0.39,5.22,8.36,18.41,399,Y/E 2020,2020-12-31
362673.85,255164.71,96595.95,11733.15,49983.74,1811.26,7670.3,0.65,4.97,9.55,18.34,399,Y/E 2021,2021-12-31
35624.75,26124.7,8910.51,1854.66,6460.89,122.59,1090.24,0.15,6.31,12.04,18.24,400,Y/E 2018,2018-12-31
39041.54,27708.63,10712.21,2220.63,7175.37,288.55,2147.33,0.24,8.5,21.89,30.97,400,Y/E 2019,2019-12-31
46032.16,33556.84,12349.84,2220.63,8996.95,2023.11,3412.34,0.39,10.48,29.59,38.07,400,Y/E 2020,2020-12-31
42485.35,29202.13,13121.61,2220.63,9868.13,217.84,2229.27,0.25,7.7,17.5,22.82,400,Y/E 2021,2021-12-31
25368.31,4285.18,21083.13,804.88,22837.72,15.13,2375.22,2.95,10.14,11.37,10.4,568,Y/E 2018,2018-12-31
24426.18,3880.57,20545.62,804.88,20915.93,334.34,1804.58,2.24,7.74,8.67,8.63,568,Y/E 2019,2019-12-31
25180.13,3566.52,21613.61,804.88,19672.68,135.71,1907.74,2.37,7.41,9.05,9.7,568,Y/E 2020,2020-12-31
27852.97,4794.87,23058.09,804.88,24137.0,-159.81,1545.31,1.92,6.05,6.92,6.4,568,Y/E 2021,2021-12-31
54811.35,34897.26,19914.09,13151.20,66049.91,-,5612.62,0.43,13.85,29.12,8.50,453,Y/E 2018,2018-12-31
52048.96,30910.88,21138.08,13151.20,67423.88,-,6176.59,0.47,14.99,30.09,9.16,453,Y/E 2019,2019-12-31
56090.77,34525.53,21565.24,13151.20,61765.43,-,5154.70,0.39,12.30,24.14,8.35,453,Y/E 2020,2020-12-31
58586.35,35695.91,22890.43,13151.20,63925.79,-,5440.52,0.41,12.28,24.48,8.51,453,Y/E 2021,2021-12-31
50009.18,12067.86,30768.3,3206.42,6669.9,13734.59,11490.68,3.58,23.25,38.51,174.68,588,Y/E 2018,2018-12-31
49534.54,9085.5,34525.17,3206.42,5296.9,12105.74,11083.01,3.46,20.93,33.95,184.37,588,Y/E 2019,2019-12-31
52636.61,8495.84,38063.61,3206.51,4571.97,11049.11,11047.65,3.45,22.84,30.44,248.33,588,Y/E 2020,2020-12-31
53983.6,7282.72,40686.76,3206.6,3735.01,10990.91,10748.22,3.35,20.79,27.3,290.16,588,Y/E 2021,2021-12-31
182445.66,95066.03,87286.11,20434.42,281011.89,1341.96,7734.99,0.38,5.93,8.85,2.76,402,Y/E 2018,2018-12-31
177850.39,94448.28,83255.73,20434.42,241623.85,2008.64,-1174.04,-0.06,0.0,-1.38,-0.47,402,Y/E 2019,2019-12-31
173490.55,97824.63,75526.4,20434.42,175281.72,942.37,-6151.7,-0.3,-3.29,-7.75,-3.5,402,Y/E 2020,2020-12-31
190491.86,102779.57,87495.58,20434.42,256622.74,-1229.54,14504.62,0.71,10.23,17.79,5.66,402,Y/E 2021,2021-12-31
198186.76,118508.98,79452.28,20434.42,326338.16,-7835.14,-4363.62,-0.21,-1.87,-5.23,-1.34,402,Y/E 2022,2022-12-31
379194.83,227339.48,144837.79,5614.55,351299.15,1172.1,26465.4,4.61,10.39,20.21,7.5,151,Y/E 2018,2018-12-31
380567.91,242400.62,129711.92,5614.55,355864.78,-290.81,5252.11,0.76,3.03,3.83,1.23,151,Y/E 2019,2019-12-31
453171.51,317563.72,126655.0,5614.55,336542.78,262.25,2414.28,0.3,2.21,1.88,0.83,151,Y/E 2020,2020-12-31
541828.24,370824.81,158768.67,5614.55,473072.95,-136.95,26288.03,4.55,8.46,18.42,5.97,151,Y/E 2021,2021-12-31
19443.98,14739.51,2845.72,734.25,12895.37,-37.12,-277.06,-0.38,2.24,-9.11,-0.81,592,Y/E 2018,2018-12-31
20372.77,15140.34,3385.47,906.61,11850.43,66.6,533.85,0.59,7.54,17.13,6.69,592,Y/E 2019,2019-12-31
25901.09,19134.93,3739.18,921.43,11714.66,27.43,797.87,0.88,9.2,22.4,11.05,592,Y/E 2020,2020-12-31
45278.28,18455.66,17264.5,1382.21,12335.52,1665.15,2467.59,2.39,11.56,23.5,25.28,592,Y/E 2021,2021-12-31
8363.33,4896.51,3395.56,444.0,1885.83,-1.78,505.52,0.6,11.74,17.67,25.44,613,Y/E 2018,2018-12-31
10141.67,6708.39,3395.58,444.0,2536.36,14.38,681.36,0.77,11.3,20.07,25.61,613,Y/E 2019,2019-12-31
14270.41,8515.87,5724.07,488.05,3206.83,-5.81,1047.04,1.15,12.48,22.96,32.31,613,Y/E 2020,2020-12-31
28036.23,8958.57,19032.13,683.66,3656.20,-,1400.37,1.29,9.29,11.31,37.72,613,Y/E 2021,2021-12-31
3155090.81,2737268.89,376297.55,23932.6,182231.62,11704.96,38459.12,16.07,2.64,10.61,24.26,614,Y/E 2018,2018-12-31
3293888.99,2840174.27,406357.62,23932.6,185002.38,16818.44,38726.74,16.18,2.52,9.9,23.48,614,Y/E 2019,2019-12-31
3658797.76,3167511.71,439669.63,23693.28,176921.41,9234.39,29487.12,12.42,1.72,6.97,19.04,614,Y/E 2020,2020-12-31
4103398.52,3566723.5,476713.71,23693.28,258001.38,5662.07,38052.72,15.77,1.75,8.3,16.37,614,Y/E 2021,2021-12-31
18121.01,6113.9,11950.81,586.4,14325.94,22.21,2014.87,1.72,12.19,17.38,14.2,569,Y/E 2018,2018-12-31
16501.0,4739.06,11712.33,586.4,12288.69,19.17,934.49,0.8,6.07,7.9,7.73,569,Y/E 2019,2019-12-31
17377.04,5315.02,12009.88,589.03,11741.86,9.84,1126.79,0.96,7.6,9.5,9.73,569,Y/E 2020,2020-12-31
21950.73,8508.64,13380.41,590.79,15329.77,17.41,2426.28,2.06,13.86,19.11,16.05,569,Y/E 2021,2021-12-31
20993.48,7548.17,13389.47,590.98,18786.59,18.55,2317.23,1.96,11.93,17.31,12.49,569,Y/E 2022,2022-12-31
6014.21,3781.04,2233.16,120.00,19894.60,-,1328.55,5.54,27.87,59.49,6.68,551,Y/E 2019,2019-12-31
19318.24,8470.76,10847.47,870.00,19010.05,-,1405.03,1.11,14.57,21.48,7.39,551,Y/E 2020,2020-12-31
17045.55,7728.66,9298.91,871.29,18972.08,-,46.92,0.03,0.63,0.47,0.24,551,Y/E 2021,2021-12-31
306329.5,263988.94,42180.46,8467.51,21701.37,909.61,6041.98,7.14,4.39,14.47,27.85,615,Y/E 2018,2018-12-31
311690.01,267678.75,43902.11,8467.51,23778.75,1706.85,5988.44,7.07,4.21,13.91,25.19,615,Y/E 2019,2019-12-31
363411.02,316785.3,46517.18,8467.51,25391.78,1128.49,5123.27,6.05,3.37,11.33,20.26,615,Y/E 2020,2020-12-31
436123.2,384961.05,51046.1,8467.51,29101.4,-167.4,6318.05,7.46,2.9,12.95,21.84,615,Y/E 2021,2021-12-31
2739203.19,2425062.09,305875.45,72005.04,154068.76,5064.59,28491.29,2.04,2.65,9.6,20.18,616,Y/E 2018,2018-12-31
3012216.12,2663889.73,338287.3,72005.04,157678.72,8992.87,29284.04,2.09,2.57,9.09,20.38,616,Y/E 2019,2019-12-31
3327780.27,2972716.68,343465.75,72005.04,147758.14,6145.63,16731.59,1.2,1.53,4.91,13.16,616,Y/E 2020,2020-12-31
3556744.44,3182633.0,360052.89,72005.04,140309.27,5224.75,21588.29,1.54,1.51,6.14,17.5,616,Y/E 2021,2021-12-31
79647.82,63296.21,16351.61,2578.33,17713.28,142.34,5139.59,1.99,10.4,35.53,29.02,617,Y/E 2018,2018-12-31
85409.26,65674.22,19707.71,2578.33,18979.96,149.11,5524.07,2.14,9.92,28.03,29.1,617,Y/E 2019,2019-12-31
88403.31,65553.04,22798.95,2578.33,18891.0,46.25,5332.87,2.07,9.42,25.09,28.22,617,Y/E 2020,2020-12-31
89471.09,62386.69,26836.36,2578.33,21441.67,10.67,5878.69,2.28,9.75,23.69,27.0,617,Y/E 2021,2021-12-31
111480.89,60729.17,49982.66,11949.71,34985.05,4862.88,10475.43,0.88,11.71,20.94,30.03,248,Y/E 2018,2018-12-31
113139.05,59956.18,52463.31,11949.71,31241.74,5786.94,10024.91,0.84,11.22,19.57,32.16,248,Y/E 2019,2019-12-31
122571.06,71970.38,49903.62,11949.71,30965.09,2908.6,7144.92,0.6,7.83,13.96,23.0,248,Y/E 2020,2020-12-31
125198.06,74551.76,49946.81,11949.71,33031.78,2811.07,6936.13,0.58,7.53,13.89,21.01,248,Y/E 2021,2021-12-31
14074.21,7441.73,6509.95,894.67,10074.23,597.06,1283.59,1.43,12.06,19.86,12.9,503,Y/E 2018,2018-12-31
