"Date","Price","Open","High","Low","Vol.","Change %"
"10/25/2022","2,174.23","2,173.39","2,177.65","2,165.62","2.67B","0.49%"
"10/21/2022","2,163.63","2,162.92","2,171.03","2,156.23","2.13B","-0.15%"
"10/20/2022","2,166.89","2,142.39","2,169.22","2,138.25","2.78B","0.89%"
"10/19/2022","2,147.84","2,151.24","2,157.43","2,141.37","1.52B","-0.02%"
"10/18/2022","2,148.26","2,131.67","2,155.46","2,129.69","2.26B","1.18%"
"10/17/2022","2,123.11","2,113.96","2,128.05","2,098.34","2.23B","0.52%"
"10/12/2022","2,112.08","2,113.33","2,118.77","2,105.64","1.91B","0.09%"
"10/11/2022","2,110.10","2,113.47","2,118.13","2,103.47","1.75B","-0.41%"
"10/10/2022","2,118.78","2,124.44","2,126.48","2,109.27","2.00B","-0.81%"
"10/07/2022","2,136.06","2,146.06","2,149.14","2,124.83","1.40B","-0.38%"
"10/06/2022","2,144.24","2,145.59","2,158.94","2,144.08","1.94B","0.32%"
"10/05/2022","2,137.30","2,144.76","2,149.71","2,130.02","1.62B","0.22%"
"10/04/2022","2,132.66","2,135.16","2,141.12","2,116.96","1.92B","1.05%"
"10/03/2022","2,110.51","2,147.10","2,156.20","2,107.38","2.52B","-1.88%"
"09/30/2022","2,151.00","2,151.86","2,162.26","2,144.49","1.88B","-0.19%"
"09/29/2022","2,155.00","2,182.59","2,192.92","2,150.81","2.31B","-0.75%"
"09/28/2022","2,171.39","2,176.00","2,182.97","2,167.76","2.34B","-0.92%"
"09/27/2022","2,191.60","2,200.90","2,208.63","2,188.71","2.35B","-0.35%"
"09/26/2022","2,199.31","2,207.97","2,209.58","2,190.32","2.55B","-0.73%"
"09/23/2022","2,215.48","2,234.43","2,239.06","2,214.64","1.75B","-0.89%"
"09/22/2022","2,235.45","2,217.08","2,242.75","2,209.73","1.92B","0.61%"
"09/21/2022","2,221.93","2,230.23","2,233.92","2,221.90","2.35B","-0.32%"
"09/20/2022","2,229.02","2,231.81","2,239.26","2,225.30","1.80B","0.42%"
"09/19/2022","2,219.61","2,223.81","2,227.50","2,216.21","1.62B","-0.04%"
"09/16/2022","2,220.59","2,236.06","2,238.24","2,217.57","3.14B","-0.92%"
"09/15/2022","2,241.32","2,259.68","2,260.94","2,239.97","2.02B","-0.71%"
"09/14/2022","2,257.30","2,245.27","2,262.38","2,242.51","2.02B","-0.49%"
"09/13/2022","2,268.31","2,271.90","2,276.45","2,263.27","2.23B","0.06%"
"09/12/2022","2,267.01","2,259.84","2,274.67","2,258.94","1.82B","0.77%"
"09/09/2022","2,249.77","2,245.25","2,255.24","2,239.21","1.59B","0.59%"
"09/08/2022","2,236.50","2,249.41","2,254.15","2,231.87","2.26B","-0.19%"
"09/07/2022","2,240.76","2,239.85","2,243.72","2,228.92","1.97B","-0.18%"
"09/06/2022","2,244.90","2,234.52","2,250.44","2,231.23","1.90B","0.82%"
"09/05/2022","2,226.55","2,230.31","2,230.70","2,214.99","1.73B","-0.09%"
"09/02/2022","2,228.64","2,228.90","2,235.01","2,212.55","2.15B","0.01%"
"09/01/2022","2,228.39","2,248.49","2,253.92","2,221.32","2.46B","-1.15%"
"08/31/2022","2,254.25","2,238.89","2,258.75","2,235.33","2.51B","0.17%"
"08/30/2022","2,250.42","2,234.67","2,253.83","2,230.35","2.02B","0.90%"
"08/29/2022","2,230.24","2,223.20","2,240.43","2,217.82","2.20B","-1.02%"
"08/26/2022","2,253.11","2,255.33","2,260.10","2,242.47","2.07B","0.00%"
"08/25/2022","2,253.08","2,245.50","2,257.56","2,242.39","2.50B","0.76%"
"08/24/2022","2,236.09","2,232.16","2,245.42","2,223.67","2.86B","0.12%"
"08/23/2022","2,233.47","2,206.94","2,238.11","2,200.67","2.34B","1.05%"
"08/22/2022","2,210.19","2,222.23","2,227.27","2,203.80","1.77B","-0.68%"
"08/19/2022","2,225.27","2,233.88","2,239.83","2,221.39","2.10B","-0.53%"
"08/18/2022","2,237.16","2,239.16","2,244.35","2,228.67","1.95B","-0.24%"
"08/17/2022","2,242.60","2,232.75","2,246.64","2,228.62","2.34B","0.57%"
"08/16/2022","2,229.98","2,234.48","2,236.56","2,224.01","2.28B","0.04%"
"08/15/2022","2,229.13","2,226.16","2,237.47","2,219.79","2.13B","0.12%"
"08/11/2022","2,226.36","2,230.20","2,231.89","2,212.20","2.52B","0.23%"
"08/10/2022","2,221.20","2,216.40","2,221.42","2,202.84","2.26B","0.07%"
"08/09/2022","2,219.75","2,210.98","2,224.26","2,205.23","1.71B","0.37%"
"08/08/2022","2,211.47","2,192.98","2,211.47","2,174.71","2.00B","0.84%"
"08/05/2022","2,192.97","2,192.78","2,194.80","2,181.75","2.12B","0.22%"
"08/04/2022","2,188.05","2,194.60","2,199.52","2,179.02","2.10B","0.00%"
"08/03/2022","2,188.13","2,185.17","2,194.35","2,176.77","1.98B","0.10%"
"08/02/2022","2,185.89","2,180.75","2,193.01","2,176.72","2.06B","-0.01%"
"08/01/2022","2,186.08","2,177.32","2,190.26","2,170.69","2.57B","0.83%"
"07/27/2022","2,168.17","2,151.06","2,168.90","2,143.46","1.72B","0.89%"
"07/26/2022","2,149.06","2,160.21","2,163.26","2,146.92","1.69B","-0.31%"
"07/25/2022","2,155.76","2,147.32","2,160.92","2,137.31","1.55B","0.44%"
"07/22/2022","2,146.39","2,143.15","2,151.43","2,129.23","3.45B","0.52%"
"07/21/2022","2,135.37","2,125.34","2,139.34","2,119.97","2.03B","0.39%"
"07/20/2022","2,127.03","2,133.94","2,136.56","2,119.54","1.80B","0.26%"
"07/19/2022","2,121.61","2,131.20","2,133.84","2,103.21","1.95B","-0.79%"
"07/18/2022","2,138.57","2,132.84","2,142.16","2,125.94","1.61B","0.66%"
"07/15/2022","2,124.45","2,130.74","2,132.71","2,100.04","2.39B","-0.16%"
"07/14/2022","2,127.83","2,137.27","2,145.63","2,119.32","2.12B","-0.68%"
"07/12/2022","2,142.45","2,153.71","2,157.42","2,136.24","1.59B","-0.79%"
"07/11/2022","2,159.44","2,153.28","2,159.98","2,145.11","1.58B","0.14%"
"07/08/2022","2,156.41","2,170.64","2,172.25","2,149.82","1.78B","-0.19%"
"07/07/2022","2,160.53","2,139.58","2,164.34","2,133.94","2.21B","1.18%"
"07/06/2022","2,135.32","2,132.35","2,143.03","2,117.77","2.61B","0.08%"
"07/05/2022","2,133.63","2,162.34","2,168.25","2,128.52","2.76B","-0.88%"
"07/04/2022","2,152.68","2,169.20","2,173.30","2,149.94","1.76B","-0.65%"
"07/01/2022","2,166.67","2,164.11","2,171.84","2,152.42","1.57B","0.37%"
"06/30/2022","2,158.78","2,187.70","2,192.51","2,153.19","2.41B","-1.26%"
"06/29/2022","2,186.24","2,188.17","2,191.83","2,179.20","1.53B","-0.59%"
"06/28/2022","2,199.15","2,178.03","2,202.18","2,171.54","1.75B","0.98%"
"06/27/2022","2,177.84","2,173.42","2,184.19","2,170.40","1.95B","0.84%"
"06/24/2022","2,159.60","2,159.36","2,162.68","2,145.59","2.01B","0.64%"
"06/23/2022","2,145.82","2,156.44","2,157.28","2,140.40","1.97B","-0.23%"
"06/22/2022","2,150.83","2,163.81","2,165.63","2,137.00","2.46B","-0.97%"
"06/21/2022","2,171.79","2,165.93","2,175.64","2,155.32","2.05B","0.93%"
"06/20/2022","2,151.78","2,144.42","2,160.52","2,138.44","2.07B","0.10%"
"06/17/2022","2,149.66","2,140.64","2,164.64","2,129.26","3.90B","-0.04%"
"06/16/2022","2,150.57","2,211.74","2,215.03","2,150.32","3.63B","-2.12%"
"06/15/2022","2,197.04","2,208.75","2,210.57","2,189.38","2.38B","-0.41%"
"06/14/2022","2,206.10","2,198.54","2,213.60","2,190.67","2.11B","0.25%"
"06/13/2022","2,200.53","2,216.10","2,222.76","2,197.75","2.53B","-2.01%"
"06/10/2022","2,245.75","2,249.73","2,256.14","2,241.38","2.18B","-0.55%"
"06/09/2022","2,258.26","2,250.07","2,263.96","2,247.31","3.09B","0.37%"
"06/08/2022","2,249.84","2,253.65","2,256.01","2,239.84","1.98B","0.29%"
"06/07/2022","2,243.27","2,258.14","2,259.75","2,239.19","2.07B","-0.88%"
"06/06/2022","2,263.14","2,269.58","2,272.62","2,246.57","2.07B","-0.10%"
"06/02/2022","2,265.50","2,273.55","2,275.77","2,262.31","1.95B","-0.63%"
"06/01/2022","2,279.94","2,278.22","2,285.37","2,269.81","2.31B","-0.02%"
"05/31/2022","2,280.45","2,266.16","2,280.59","2,259.27","3.02B","0.61%"
"05/30/2022","2,266.59","2,261.12","2,271.55","2,254.96","2.00B","0.98%"
"05/27/2022","2,244.54","2,253.20","2,256.45","2,235.89","2.05B","0.35%"
"05/26/2022","2,236.78","2,230.85","2,240.70","2,228.39","1.99B","0.64%"
"05/25/2022","2,222.48","2,233.90","2,246.82","2,221.84","2.17B","-0.15%"
"05/24/2022","2,225.79","2,241.67","2,242.90","2,224.21","2.05B","-0.68%"
"05/23/2022","2,240.98","2,229.51","2,241.65","2,223.55","1.91B","0.88%"
"05/20/2022","2,221.46","2,217.63","2,227.80","2,212.35","2.05B","1.10%"
"05/19/2022","2,197.25","2,191.00","2,209.01","2,185.51","2.00B","-1.13%"
"05/18/2022","2,222.38","2,211.92","2,226.45","2,199.90","2.56B","0.71%"
"05/17/2022","2,206.61","2,182.47","2,209.26","2,173.04","2.92B","1.92%"
"05/13/2022","2,165.05","2,171.44","2,176.93","2,156.28","3.02B","0.35%"
"05/12/2022","2,157.60","2,179.06","2,180.78","2,147.67","3.25B","-1.36%"
