Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-01-02 00:00:00+07:00,138.481507888446,140.3096466064453,137.56743852944638,140.3096466064453,4994500,0.0,0.0
2020-01-03 00:00:00+07:00,139.85260349961578,141.22370745549438,138.4814995437372,139.39556884765625,5490800,0.0,0.0
2020-01-06 00:00:00+07:00,133.91115322844075,134.36818788109755,131.1689453125,131.1689453125,20065700,0.0,0.0
2020-01-07 00:00:00+07:00,132.54003724851808,133.91114108212344,128.8837603589038,130.71189880371094,17782000,0.0,0.0
2020-01-08 00:00:00+07:00,127.96970367431639,128.4267383302961,126.5985997063773,127.9697036743164,16559900,0.0,0.0
2020-01-09 00:00:00+07:00,129.79784495219425,130.2548796175189,125.22749829894798,126.59860229492188,17901700,0.0,0.0
2020-01-10 00:00:00+07:00,127.05562844016335,127.96969770951705,124.77045526677912,125.68452453613281,14664700,0.0,0.0
2020-01-13 00:00:00+07:00,126.14156173257267,126.59859637653128,123.3993538688211,124.31342315673828,13672700,0.0,0.0
2020-01-14 00:00:00+07:00,123.85637816809174,123.85637816809174,120.65713592758753,121.57120513916016,17895800,0.0,0.0
2020-01-15 00:00:00+07:00,121.11418067729066,123.85638854168215,120.20011138916017,120.20011138916016,18789100,0.0,0.0
2020-01-16 00:00:00+07:00,120.65714761485224,126.59859806558359,119.74307831473972,126.14156341552734,26639200,0.0,0.0
2020-01-17 00:00:00+07:00,128.88377040687803,130.71190899420964,128.88377040687803,129.34080505371094,20187700,0.0,0.0
2020-01-20 00:00:00+07:00,124.31342230902777,125.6845262315538,122.48528374565971,123.39935302734375,18087700,0.0,0.0
2020-01-21 00:00:00+07:00,125.68452203874106,127.96969516671818,125.22748741314564,127.05562591552734,19675300,0.0,0.0
2020-01-22 00:00:00+07:00,127.96970367431639,129.3408076422555,127.5126690183367,127.9697036743164,7487000,0.0,0.0
2020-01-23 00:00:00+07:00,127.05563181954642,129.34080505371094,126.59859717271353,129.34080505371094,32623500,0.0,0.0
2020-01-24 00:00:00+07:00,130.25486235922958,130.71189696399878,127.96968933538344,128.88375854492188,10347800,0.0,0.0
2020-01-27 00:00:00+07:00,127.51265344936469,128.42672264971856,123.39934204777228,123.85637664794922,9451800,0.0,0.0
