Assets,Liabilities,Equity,Paid-up Capital,Revenue,Profit (Loss) from Other Activities,Net Profit,EPS (Baht),ROA (%),ROE (%),Net Profit Margin (%),SymbolId,Period as of
13886.74,8315.1,5571.64,4579,4848.94,-10.04,546.57,0.06,7.52,9.81,11.27,374,2018-12-30 00:00:00
14145.18,3352.14,10793.04,5088,5088.17,-103.51,815.31,0.09,8.74,9.96,16.02,374,2019-12-30 00:00:00
16429.69,4436.86,11992.83,5088,6038.96,6.67,1507.64,0.15,10.84,13.23,24.97,374,2020-12-30 00:00:00
18740.2,5371.62,13315.33,5088,5739.67,167.96,1505.68,0.15,9.95,11.9,26.23,374,2021-12-30 00:00:00
290504.99,232836.4,57521.04,2973.1,170716.67,-4.34,29682.18,9.98,14.2,55.05,17.41,575,2018-12-30 00:00:00
289669.12,220274.95,69266.1,2973.18,181740.18,222.54,31189.57,10.49,14.54,49.2,17.16,575,2019-12-30 00:00:00
350170.58,274481.21,75563.98,2973.55,173720.31,69.89,27434.36,9.23,12.02,37.88,15.79,575,2020-12-30 00:00:00
356221.74,274397.22,81698.75,2973.93,182605.54,-786.32,26922.15,9.05,10.91,34.24,14.74,575,2021-12-30 00:00:00
87121.54,68733.17,18053.93,250,19877.89,5.61,3506.49,14.03,7.87,20.75,17.94,609,2019-12-30 00:00:00
95395.61,74270.46,20727.98,250,21685.46,538.54,3975.36,15.9,7.71,19.18,19,609,2020-12-30 00:00:00
87388.5,70008.84,17057.78,250,19822.54,203.46,3689.64,14.76,7.38,19.53,18.56,609,2021-12-30 00:00:00
90469.39,70205.43,19888.71,250,19048.23,308.67,3553.04,14.21,7.11,19.23,18.76,609,2022-12-30 00:00:00
33021.43,17452.34,12967.27,1067,4478.81,712.77,1018.22,0.95,5.92,7.98,29.61,225,2018-12-30 00:00:00
36397.4,19420.95,14054.51,1067,6112.7,689.97,1742.06,1.63,8.16,12.89,35.79,225,2019-12-30 00:00:00
40221.65,21469.13,15648.21,1150,4350.4,562.62,1103.44,1.02,5.23,7.43,32.22,225,2020-12-30 00:00:00
45470.86,23462.42,17723.26,1150,5433.66,974.3,1402.29,1.22,6.55,8.4,36.1,225,2021-12-30 00:00:00
187708.55,43439.43,143902.78,14285.7,61918.81,217.12,25170.76,1.76,17.56,18.29,40.74,540,2018-12-30 00:00:00
198381.56,43842.92,153899.11,14285.7,64384.75,182.04,25026.37,1.75,16.73,16.81,38.98,540,2019-12-30 00:00:00
173558.57,30526.9,142235.58,14285.7,33129.95,145.56,4320.68,0.3,3.22,2.92,12.97,540,2020-12-30 00:00:00
195085.77,81664.39,112343.77,14285.7,7715.73,-51.08,-16322.01,-1.14,-9.53,-12.82,-212.19,540,2021-12-30 00:00:00
183812.92,81294.32,101323.97,14285.7,16992.5,258.17,-11087.87,-0.78,-5.77,-10.38,-64.59,540,2022-12-30 00:00:00
49283.66,24904.35,24392.75,3145.9,27759.64,1130.44,3865.41,1.23,10.2,16.8,13.89,228,2018-12-30 00:00:00
58794.21,32498.09,26313.12,3145.9,23889.79,1085.44,3067.51,0.98,7.2,12.1,12.83,228,2019-12-30 00:00:00
58723.86,29460.56,29281.35,3145.9,29958.5,1947.62,4226.53,1.34,8.99,15.2,14.1,228,2020-12-30 00:00:00
60408.95,27985.54,32441.68,3145.9,31980.04,1000.28,4543.06,1.44,9.51,14.72,14.21,228,2021-12-30 00:00:00
93043.32,68037.84,25005.48,24000,12415.64,0.42,469.58,0.03,3.97,1.88,3.94,232,2018-12-30 00:00:00
109157.86,33496.19,75661.66,32000,11522,,1054.23,0.04,3.14,2.09,9.03,232,2019-12-30 00:00:00
124466.57,53280.47,71186.09,32000,6136.42,,-1881.23,-0.06,-0.99,-2.56,-30.66,232,2020-12-30 00:00:00
138897.29,59690.67,79206.62,32000,4395.83,3884.46,861.48,0.03,1.77,1.15,19.6,232,2021-12-30 00:00:00
107653,65803.99,41849.01,13675,9781.46,-30.31,5202.02,1.9,6.48,12.43,53.18,610,2018-12-30 00:00:00
115789.67,78723.55,37066.12,15075,12232.18,3.99,6549.3,2.38,7.47,16.6,53.54,610,2019-12-30 00:00:00
132069.62,90272.59,41797.03,16160.21,12444.33,,1840.62,0.57,3.7,4.67,14.79,610,2020-12-30 00:00:00
125904,83148.41,42755.59,16160.21,13306.23,,2600.22,0.8,4.51,6.15,19.54,610,2021-12-30 00:00:00
274317.4,171304.59,83060.46,5161.93,114845.46,5830.78,6693.73,1.3,8.11,7.95,8.91,380,2018-12-30 00:00:00
257588.81,167107.96,72194.58,5161.93,90048.43,4518.34,-552.86,-0.11,3.59,-0.71,1.5,380,2019-12-30 00:00:00
281647.62,197092.37,62343.95,5074.58,72929.82,7492.41,-1786.32,-0.35,1.97,-2.66,-0.78,380,2020-12-30 00:00:00
365799.4,262102.27,79277.25,6766.11,134990.1,-5023.44,9851.8,1.59,8.72,13.91,11.83,380,2021-12-30 00:00:00
3116750.22,2703591.33,412814.25,19088.43,154265.8,16386.93,35329.97,18.51,2.7,8.67,23.15,611,2018-12-30 00:00:00
3216743.1,2788626.79,427751.21,19088.43,158310.64,27704.8,35816.09,18.76,2.78,8.52,22.87,611,2019-12-30 00:00:00
3822959.69,3372712.55,449013.69,19088.43,150106.58,13555.57,17180.58,9,1.62,3.92,11.69,611,2020-12-30 00:00:00
4333280.91,3838688.35,492727.07,19088.43,157313.5,19301.83,26507.04,13.89,1.6,5.63,17.13,611,2021-12-30 00:00:00
12627.5,6229.71,5701.43,2493.75,8182.74,2.54,1089.47,0.44,13.11,20,15.25,473,2018-12-30 00:00:00
14115.63,7137.35,6248,2493.75,8996.28,2.36,1134.91,0.46,12.82,19,14.43,473,2019-12-30 00:00:00
16527.3,8900.99,6884.5,2493.75,9021.36,2.99,1229.4,0.49,11.99,18.72,15.43,473,2020-12-30 00:00:00
26383.76,12078.12,12979.72,2493.75,21533.42,2.13,6846,2.75,44.3,68.93,34.86,473,2021-12-30 00:00:00
117368.62,67831.06,42714.97,1376.92,193340.41,389,2462.88,1.79,4.56,5.57,1.67,382,2018-12-30 00:00:00
127787.98,68972.94,51603.93,1376.92,190983.67,1178.62,1731.57,1.18,3.47,3.67,1.3,382,2019-12-30 00:00:00
148322.59,90006.17,46365.96,1376.92,136982.82,156.66,-6967.07,-5.5,-3.9,-14.22,-4.21,382,2020-12-30 00:00:00
201785.31,132225.98,53467.1,1376.92,200695.74,753.29,7623.79,5.25,9.51,15.27,4.91,382,2021-12-30 00:00:00
31557.88,16415.63,15142.1,9984.14,3436.85,969.03,2219.23,1.11,8.94,15.04,64.57,383,2018-12-30 00:00:00
37136.57,21581.42,15505.72,9994.46,3446.67,450.09,1801.42,0.9,6.87,11.76,52.25,383,2019-12-30 00:00:00
51219.57,28670.63,22480.11,13201.89,4260,485.29,1912.25,0.92,6.26,10.07,44.87,383,2020-12-30 00:00:00
58721.23,31493.06,27159.66,14470.06,4740.56,544.4,2010.82,0.74,5.4,8.1,42.41,383,2021-12-30 00:00:00
133498.75,60060.68,70320.11,1566.9,79406.93,1689.69,9191.46,0.59,10.58,13.78,12.15,474,2018-12-30 00:00:00
133661.74,46480.11,83813.43,1589.2,83893.22,8641.44,15517.17,0.99,15.58,20.13,19.08,474,2019-12-30 00:00:00
136050.25,44587.55,87910.18,1589.2,69101.64,2701.99,7214.24,0.45,8.36,8.4,11.07,474,2020-12-30 00:00:00
128453.62,40688.69,83845.19,1589.2,75791.68,21.11,7936.08,0.5,8.56,9.24,11.2,474,2021-12-30 00:00:00
14320.07,8083.7,6084.15,2000,10486.41,17.68,-330.18,-0.17,-1.5,-5.29,-2.97,497,2018-12-30 00:00:00
11354.48,5636.04,5623.33,2000,8751.62,28.02,-397.17,-0.2,-2.99,-6.78,-5.13,497,2019-12-30 00:00:00
9518.87,4109.86,5408.99,2000,5908.22,35.26,-214.25,-0.11,-0.86,-3.88,-5.15,497,2020-12-30 00:00:00
